기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
가온,대기업,경기 안양시,기타 절연선 및 케이블 제조업,492억 9천만원,"1조 4,051억원",정현,1947.09.24
가온,중견기업,경기 성남시,방송장비 제조업,,,,
가온,중소기업,경기 성남시,컨설팅·연구·조사,"5,000만원",36억 4천만,김기홍,2011.10.10
가온,중소기업,서울 강남구,상품 종합 도매업,85억원,53억 7천만원,조윤경,2002.10.09
가온,중소기업,경기 성남시,비메모리용 및 기타 전자집적회로 제조업,57억 9천만원,964억 9천만원,정규동,2012.08.09
가온,중소기업,서울 강남구,솔루션·SI·CRM·ERP,2억원,466억,조창제,2000.05.01
가온,중소기업,대전 유성구,음식료·외식·프랜차이즈,"단체급식,위탁급식,외식,식음료","국민연금, 건강보험, 고용보험, 산재보험",http://gaonfns.co.kr/,김주홍
가온,중견기업,경기 성남시,기타 무선 통신장비 제조업,40억 9천만원,"1,807억 5천만원",임용혁,2020.07.03
가온,중소기업,서울 영등포구,기타 정보기술 및 컴퓨터운영 관련 서비스업,2억원,244억 4백만,이태재,2013.09.01
가온,중소기업,경기 남양주시,백화점·유통·도소매,1억원,100억원,방해화,2014.12.10
엔에스엘코리아,중소기업,서울 광진구,무역·상사,1억원,226억 4천만,손호영,1999.03.01
태일정보시스템,중소기업,서울 송파구,내부 통신배선 공사업,"1억 5,000만원",20억 6천만원,정구일,2012.05.04
대윤글로벌,중소기업,서울 구로구,그 외 기타 의료용 기기 제조업,-,-,박관중,-
해오름,중소기업,서울 금천구,솔루션·SI·CRM·ERP,2억원,60억,이승수,2005.07.16
해오름,중소기업,서울 중구,손해 사정업,-,-,이기무,2005.01.18
해오름,중소기업,서울 송파구,섬유·의류·패션,-,-,주석구,2000.06.21
해오름,중소기업,경기 고양시,한식 일반 음식점업,-,-,김인자,2007
해오름,중소기업,전남 여수시,비계 및 형틀 공사업,2억원,10억 7천만원,이귀주,2008.01.11
해오름,중소기업,인천 서구,제약·보건·바이오,-,-,노도식,2005
해오름,중소기업,경기 안양시,건물 건설업,"8억 1,000만원",65억 3천만원,김길수/김인호,2004.10.18
해오름,중소기업,충남 논산시,과자류 및 코코아 제품 제조업,1억원,40억 4천만원,김종완,2007.01.16
해오름,중소기업,서울 금천구,컴퓨터시스템 통합 자문 및 구축 서비스업,5억원,41억 1천만원,김기태,2000.01.15
신성베어링,중소기업,서울 구로구,그 외 기타 기계 및 장비 도매업,"5,000만원",43억 9천만원,지동황,2010.04.01
백양,중소기업,인천 서구,비주거용 건물 임대업,22억 1천만원,24억 2백만원,한지형,1992.09.15
백양,중소기업,전남 장성군,세탁물 공급업,30억 1천만원,33억 8천만원,최희숙,1997.10.01
백양,중소기업,서울 영등포구,건물용 금속공작물 설치 공사업,-,-,노진민,2004.09.01
백양,중소기업,경기 시흥시,토공사업,"4억 6,000만원",23억 3천만원,이웅근,2001.09.01
백양,중소기업,울산 남구,배관 및 냉ㆍ난방 공사업,"5억 5,000만원",157억 2천만원,김동휘,2004.08.20
백양,중소기업,부산 부산진구,슈퍼마켓,1억원,19억 3천만원,김수환,2016.07.26
백양,중소기업,전남 장성군,음식료·외식·프랜차이즈,-,-,한제영,2016.11.01
백양,중소기업,전남 장성군,종자 및 묘목 생산업,100만원,28억 7백만원,고숭,2021.12.15
엠트로스,중소기업,대구 달서구,그 외 기타 전자부품 제조업,1억원,"1억 8,738만원",강일용,2012.08.24
비지엔티,중소기업,서울 강서구,응용 소프트웨어 개발 및 공급업,"3억 9,000만원","5억 3,709만원",서석진,2004.05.07
비지엔티,중소기업,인천 연수구,컨설팅·연구·조사,"2억 5,000만원",22억 2천만원,이지선,2007.03.05
비지엔티,벤처기업,경기 화성시,무역·상사,-,-,김병수,-
비지엔티,중소기업,경기 안산시,"미장, 타일 및 방수 공사업","1억 5,000만원",31억 6백만원,허용준,2020.11.17
비지엔티,중소기업,인천광역시 부평구,경영 컨설팅업,"5,000만원",392만원,정설아,2019.07.16
비지엔티,중소기업,경기 군포시,전기·전자·제어,82억 9백만원,795억 5천만원,임학규,1996.12.17
볕터건축사사무소,중소기업,서울 강서구,건축설계 및 관련 서비스업,"건축설계,컴퓨터시스템 통합 자문 및 구축 서비스업,컴퓨터시설 관리업,데이터베이스제작및검색서비스,자료 처리업,디지털콘텐츠개발,학술연구용역","국민연금, 건강보험, 고용보험, 산재보험",-,황진하
주찬실업,중소기업,경남 김해시,선박 구성 부분품 제조업,3억원,43억 8천만원,신구호,2001.05.20
라이프티엠,중소기업,서울 금천구,임업 관련 서비스업,5억원,"8억 7,303만원",정광진,2005.01.27
라이프티엠,대기업 계열사·자회사,서울 중구,증권·보험·카드,420억원,1683억,고병구,2005.04.01
케스트,중견기업,서울 종로구,방송 프로그램 제작업,57억 3천만원,520억 9천만원,엄재용,2008.09.01
케스트,중소기업,경북 고령군,선철주물 주조업,7억원,350억 5천만원,문성배/문영욱,2009.11.09
케스트,중견기업,서울 종로구,프로그램 공급업,100억원,220억 6천만원,엄재용,2000.02.01
케스트,중소기업,서울 강동구,응용 소프트웨어 개발 및 공급업,-,-,김성현,2024.04.19
남경에스텍,중소기업,전라남도 나주시,원목 및 건축관련 목제품 도매업,6억원,21억 6천만원,김용균,2011.06.02
네스,중소기업,충남 천안시,전기·전자·제어,-,-,민경철,2021.07.07
네스,중소기업,경기 부천시,쇼핑몰·오픈마켓·소셜커머스,황성혜,,인테리어소품 브랜드,2021.12.27
네스,중소기업,대전 서구,IT컨설팅,5억원,350억,김윤희,2003.07.16
네스,중소기업,경기 하남시,콜센터·아웃소싱·기타,"5,000만원",20억5천만,유한수,2006.07.04
네스,중소기업,서울 성북구,스포츠·여가·레저,-,-,김양수,-
네스,중소기업,경기 수원시,네트워크·통신서비스,10억원,50억,유영곤,2009.07.16
네스,벤처기업,대전 유성구,전기·전자·제어,1억원,63억원,이기성,2010
네스,중소기업,서울 서초구,주류 도매업,1억원,33억 8백만원,김효진,2016.08.03
네스,중소기업,서울 서초구,건축·설비·환경,43억원,49억,김현준,2004.03.05
네스,중소기업,강원 원주시,모래 및 자갈 채취업,12억원,114억 4천만원,유영민,2005.03.18
썬컴,중소기업,부산 북구,솔루션·SI·CRM·ERP,"4억 5,000만원",22억,고태훈,2006.02.14
썬컴,중소기업,경기 파주시,목재·제지·가구,-,-,선철웅,2008.07.01
썬컴,중소기업,경남 사천시,컴퓨터·하드웨어·장비,-,-,김선형,-
제일통상,중소기업,경기 김포시,물류·운송·배송,-,-,김덕미,2010.10.31
제일통상,중소기업,서울 광진구,정비·A/S·카센터,-,-,김진정,-
제일통상,중소기업,광주 서구,"장난감 및 취미, 오락용품 도매업",-,-,김성호,2003.08.14
플러스이십일,중소기업,서울 서대문구,여행사업,3억 5만원,-,유정현,2008.03.01
청진건설,중소기업,경북 성주군,기타 토목시설물 건설업,20억원,38억 4천만원,백근하,1996.07.05
청진건설,중소기업,충북 음성군,기타 토목시설물 건설업,12억 8천만원,252억 3천만원,박종만,2000.02.22
청진건설,중소기업,경기 고양시,조경 건설업,"9억 6,000만원","5억 1,690만원",김성곤,2008.06.24
청진건설,벤처기업,서울 서초구,건설·시공·토목·조경,-,-,우충구,-
코리아툴링,중소기업,서울 구로구,그 외 기타 기계 및 장비 도매업,6억원,93억 2천만원,이재건,2000.01.03
코리아툴링,중소기업,서울 서초구,그 외 기타 분류 안된 교육기관,-,-,김동희,2014.08.25
코리아툴링,중소기업,경기 의왕시,백화점·유통·도소매,"6억 2,500만원",114억 1천만원,스테펜존백쇼,2017.03.20
코리아툴링,중소기업,인천 남동구,금속 주조 및 기타 야금용 기계 제조업,"5억 5,652만원","7억 4,276만원",류성열,1990.01.15
우리포장산업,중소기업,전남 나주시,목재·제지·가구,이미숙,골판지 박스 제조,"국민연금, 건강보험, 고용보험, 산재보험",2005.07.11
해상,대기업,서울 강남구,손해 보험업,603억 1천만원,11조 5천억원,김중현,1922.10.01
해상,국내 공공기관·공기업,인천 연수구,공기업·공공기관,-,-,정봉훈,1953.12.23
해상,대기업,서울 종로구,지주회사,"3,538억 6천만원","5,167억 9천만원",정기선/김성준,1973.12.28
해상,공공기관,서울 송파구,기타 환경 정화 및 복원업,741억 5천만원,"2,263억 5천만원",강용석,1998.08.01
해상,대기업,서울 종로구,증권·보험·카드,"3,258억원","3조 3,740억원",송윤상,1948.03.15
해상,대기업,서울 강서구,외항 화물 운송업,"1,606억 4백만원","8,566억 2천만원",한수한,1968.12.12
해상,중견기업,서울 중구,물류·운송·배송,"1,202억 1천만원","1,778억",이환구,1961.12.08
해상,중견기업,서울 중구,외항 화물 운송업,14억 6백만원,"6,850억 7천만원",김용규,1953.08.01
해상,중견기업,서울 중구,외항 화물 운송업,36억 5천만원,"4,034억 5백만원",서성훈,1962.10.22
해상,중견기업,서울 중구,외항 화물 운송업,,,,
유진정보통신,중소기업,서울 용산구,물류·운송·배송,-,-,이경훈,-
유진정보통신,중소기업,경기 이천시,일반 통신 공사업,1억원,7억9천,이헌준,2012.03.02
풍건,중소기업,경기 파주시,네트워크·통신서비스,"5,000만원",7억,양찬혁,2019.11.29
그림,대기업 계열사·자회사,서울 성동구,솔루션·SI·CRM·ERP,1억원,204억 5206만,김영민,2014.08.29
그림,중소기업,경기 광명시,전기·전자·제어,1억원,136억 9천만,곽만영,2011.05.02
그림,대기업,서울 마포구,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",1억원,104억 2천만원,황지우,2017.01.12
그림,중소기업,서울 금천구,모바일·APP,"2,667만원",71억 7천만,이민호,2015.04.08
그림,중소기업,서울 강남구,건설·시공·토목·조경,2억원,-,박종익,2005
그림,중소기업,경기 고양시,학원·어학원·교육원,-,-,이종구,2000
그림,중소기업,서울 서초구,광고·홍보·전시,2억원,"9억 3,480만원",류정훈,2013.07.09
그림,중소기업,경기 고양시,간판 및 광고물 제조업,"5,000만원",20억,지덕환,2001.02.19
그림,중소기업,서울 금천구,"광고물 문안, 도안, 설계 등 작성업",-,-,김병철,2011.07.20
그림,중소기업,서울 영등포구,웹에이전시,"서원영, 김영광",웹사이트제작 및 그래픽디자인 프로그램,"국민연금, 건강보험, 고용보험, 산재보험",2005.09.01
삼보에드텍,중소기업,경기 부천시,전기·전자·제어,"2억 6,000만원",46억,이백용,2001.09.28
태인제네시스,중소기업,서울특별시 중구,상품 종합 도매업,"5,000만원",14억 6천만원,김학태,1999.11.24
신성메카트로닉스,중소기업,경기 군포시,기계·기계설비,이상복,"기계수입,기계가공,무역","국민연금, 건강보험, 고용보험, 산재보험",1996.03.26
길호,중소기업,제주 서귀포시,수산동물 건조 및 염장품 제조업,7억 100만원,25억 9천만원,강문철,2010.12.13
위스마트,중소기업,서울 송파구,응용 소프트웨어 개발 및 공급업,2억원,"9억 7,364만원",정택선,2020.05.20
지엠피앤디,중소기업,서울 중구,주거용 건물 개발 및 공급업,"부동산 개발,공급","국민연금, 건강보험, 고용보험, 산재보험",-,현병섭
덕흥농산중개,중소기업,서울 송파구,"채소류, 서류 및 향신작물류 도매업","5,000만원",20억 4천만원,노원준,1997.08.01
오봉,중소기업,충남 보령시,호텔·여행·항공,-,-,장진석,-
오봉,중소기업,서울 구로구,옥외 및 전시 광고업,-,-,김병곤,-
오봉,중소기업,경기 고양시,음식료·외식·프랜차이즈,-,-,남재우,2015.03.03
오봉,중소기업,인천 서구,음식료·외식·프랜차이즈,-,-,주재억,-
오봉,중소기업,서울 도봉구,음식료·외식·프랜차이즈,-,-,임민혁,-
오봉,중소기업,대구 북구,음식료·외식·프랜차이즈,-,-,김재호,-
오봉,중소기업,경기 구리시,음식료·외식·프랜차이즈,-,-,유현아,-
오봉,중소기업,경기 수원시,음식료·외식·프랜차이즈,-,-,김태우,2016.01.02
오봉,중소기업,대구 북구,목재·제지·가구,-,-,진현서,-
늘사랑어린이집,비영리단체·교육재단,경남 김해시,학원·어학원·교육원,-,-,손재익,2004.05.04
해피앤리치개발,중소기업,대전 서구,비주거용 건물 개발 및 공급업,6억원,"6억 7,246만원",김맹순,2007.10.09
자연의모든것,중소기업,서울 송파구,백화점·유통·도소매,17억 1천만원,490억,"강명균,이강표",1998.07.14
