기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
케이아이에스,중견기업,서울 구로구,그 외 기타 전기 통신업,61억 5천만원,"3,124억 7천만원",조용수,1993.04.01
케이아이에스,중소기업,서울 관악구,섬유·의류·패션,-,50억,서형태,2009.07.10
케이아이에스,중소기업,대구 북구,"컴퓨터 및 주변장치, 소프트웨어 도매업",1억원,11억 1천만원,손동목,2000.10.06
케이아이에스,중소기업,충북 청주시,솔루션·SI·CRM·ERP,"2억 5,000만원",23억2천만,장래현,2000.01.04
케이아이에스,중소기업,서울 성동구,여행사업,-,-,이상철,-
케이아이에스,중소기업,울산 울주군,음식료·외식·프랜차이즈,-,-,조성태,-
케이아이에스,중소기업,서울 금천구,화학섬유직물 직조업,"1억 5,000만원",17억 7천만원,이무호,2013.07.16
케이아이에스,중소기업,경기 안양시,응용 소프트웨어 개발 및 공급업,"1억 5,000만원",23억 4천만원,이국재,2018.10.05
케이아이에스,중소기업,대구 중구,기타 교육지원 서비스업,-,-,김미경,-
블루모션테크놀로지,중소기업,인천 서구,배전반 및 전기 자동제어반 제조업,1억원,"5억 2,633만원",이춘화/김희황,2016.08.25
지앤에스이엔지,중소기업,경기 고양시,일반전기 공사업,13억 6천만원,276억 2천만원,박선영,2002.05.24
평원,중소기업,서울 강북구,목재·제지·가구,1억 500만원,15억 7천만,소유민,2018.09.05
평원,중소기업,서울 강남구,"지정 외 폐기물 수집, 운반업","1억 5,000만원",43억 3천만원,유대웅,1982.09.05
평원,중소기업,경기 안양시,건설·시공·토목·조경,5억원,11억 6천만,조성민,1991.02.11
평원,중소기업,경기 광주시,"채소류, 서류 및 향신작물류 도매업","2,000만원",47억 4백만원,조찬승,2019.08.12
평원,중소기업,강원 원주시,재생용 재료 수집 및 판매업,"3,782만원","6억 2,442만원",안병국,2018.04.24
평원,중소기업,경기 부천시,"도배, 실내장식 및 내장 목공사업",-,-,정대원,-
평원,중소기업,서울 강남구,변호사업,"6,000만원","7억 9,130만원",손태근,2015.08.27
평원,중소기업,경기 안양시,건설·시공·토목·조경,12억 2천만원,119억7천만원,강재진,2003.03.13
평원,중소기업,경기 시흥시,컨설팅·연구·조사,-,-,서영애,2022.09.01
평원,중소기업,경기 성남시,회계·세무·법무,-,-,강석원,2002.01.01
성진통운,중소기업,서울 강서구,택시 운송업,-,-,정부길,1971.03.10
성진통운,중소기업,대전 중구,일반 화물자동차 운송업,1억원,89억 3천만원,이봉현,2007.09.01
디에이치알서비스,중소기업,경기 화성시,시설관리·보안·경비,1억원,40억,김규만,1997.06.02
늘푸름,중소기업,부산 사하구,식품가공,54억원,417억,김형광,2004.01.01
늘푸름,중소기업,경기 화성시,식품가공,"9억 9,000만원",251억 5천만원,안상교/안재욱,1998.12.01
늘푸름,중소기업,서울 송파구,학원·어학원·교육원,"5,000만원",37억 1천만원,고강현,2010.09.01
늘푸름,중소기업,서울 중구,물류·운송·배송,3억원,1360억,남극영,2007.06.14
늘푸름,중소기업,대구 남구,"서적, 잡지 및 기타 인쇄물 도매업",-,-,박창범,2017.02.20
늘푸름,중소기업,경기 김포시,기타 목재가구 제조업,2억원,80억,정유순,1990.09.01
늘푸름,중소기업,경기 화성시,시설관리·보안·경비,-,100억,이한엄,2003.07.01
늘푸름,중소기업,전북 완주군,네트워크·통신서비스,30억원,100억,최정성,2002.06.10
늘푸름,중소기업,경기 안성시,건축물 일반 청소업,5억원,50억 7천만원,이옥순,2004.07.01
늘푸름,중소기업,경기 성남시,"빵류, 과자류, 당류, 초콜릿 도매업",100만원,32억 3천만원,나법균,2019.10.10
디케이이엔지,중소기업,경기 포천시,기타 엔지니어링 서비스업,100만원,"4억 4,117만원",김선태,2021.03.05
디케이이엔지,중소기업,대구 북구,"기타 기술 시험, 검사 및 분석업",-,-,권영기,-
디케이이엔지,중소기업,인천 중구,건축·설비·환경,-,-,박룡,-
미디어지음,중소기업,인천 서구,인테리어·자재,-,-,권혁범,-
미디어지음,중소기업,서울 서초구,방송·케이블·프로덕션,-,-,김청운,2010
빅텍스,중소기업,인천 서구,기계·기계설비,28억원6십만원,120억,최진흥,2000.02.14
대신기술능력개발원,중소기업,서울 강동구,기타 기술 및 직업훈련학원,3억원,11억 8천만원,이석진,2008.12.01
유림미트,중소기업,경기 광명시,물류·운송·배송,김경희,축산물,"국민연금, 건강보험, 고용보험, 산재보험",2016.09.01
고운문화재연구원,비영리법인,충남 아산시,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","5,000만원",15억 5천만원,김경범,2017.11.10
세무법인조이위드,중소기업,서울 강남구,회계·세무·법무,,,,
세무법인조이위드,중소기업,서울 강남구,회계·세무·법무,,,,
대광솔루션,중소기업,전남 여수시,일반전기 공사업,12억 6천만원,500억 6천만원,문성환,1991.07.01
대광솔루션,중소기업,경기 남양주시,"냉.난방장치 및 철물, 수공구 도매업",,,,
대광솔루션,중소기업,대전 서구,사무용 가구 및 기기 도매업,,,,
명진종합건설,중소기업,충북 청주시,일반전기 공사업,7억 364만원,51억 4천만원,이명준,1991.04.08
명진종합건설,중소기업,경북 구미시,"미장, 타일 및 방수 공사업",,,,
글로벌표준인증원,중소기업,경기 광명시,컨설팅·연구·조사,,,,
명성토건,중소기업,경기 용인시,토공사업,,,,
에이치지포인트건설,중소기업,광주 북구,건물 건설업,-,-,이재득,-
알레마나,중소기업,서울 서초구,섬유·의류·패션,1억원,30억4천만,최영혜,2012.01.06
디엠에스이,중소기업,경기도 안양시,전기·전자·제어,6억원,정문식,,2007.10.16
경원건축사무소,중소기업,서울 서초구,건축·설비·환경,,,,
아인스시스템,대기업,충북 청주시,기타 반도체소자 제조업,,,,
아인스시스템,중소기업,서울 금천구,기타 정보기술 및 컴퓨터운영 관련 서비스업,,,,
아인스시스템,중견기업,서울 용산구,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,,
아인스시스템,중소기업,서울 용산구,컴퓨터·하드웨어·장비,,,,
아인스시스템,중소기업,경남 창원시,네트워크·통신서비스,,,,
아인스시스템,중소기업,인천 부평구,기타 반도체소자 제조업,,,,
아인스시스템,중소기업,대구 동구,응용 소프트웨어 개발 및 공급업,,,,
아인스시스템,중소기업,경기 김포시,기타 공동 주택 건설업,,,,
아인스시스템,중소기업,경기 하남시,"도배, 실내장식 및 내장 목공사업",,,,
아인스시스템,중소기업,경기 안양시,응용 소프트웨어 개발 및 공급업,"1억 5,000만원",23억 4천만원,이국재,2018.10.05
덕인환경,중소기업,인천 동구,"소독, 구충 및 방제 서비스업",1억원,11억 4천만원,손경언/한영숙,2007.01.05
바론,중소기업,서울 구로구,광고·홍보·전시,,,,
바론,중소기업,서울 강남구,백화점·유통·도소매,,,,
바론,중소기업,서울 영등포구,"도배, 실내장식 및 내장 목공사업",,,,
바론,중소기업,경기 화성시,컴퓨터시스템 통합 자문 및 구축 서비스업,"1억 2,233만원",15억 6천만원,박기범,2010.01.01
바론,중소기업,대전 유성구,솔루션·SI·CRM·ERP,,,,
바론,중소기업,부산 남구,데이터베이스 및 온라인정보 제공업,,,,
바론,중소기업,충북 청주시,응용 소프트웨어 개발 및 공급업,,,,
바론,중소기업,제주 제주시,모조 귀금속 및 모조 장신용품 제조업,,,,
바론,중소기업,경기 안산시,항공 및 육상 화물 취급업,,,,
바론,중소기업,강원 원주시,건설·시공·토목·조경,,,,
새마,중소기업,부산 해운대구,상품 종합 도매업,1억원,71억 8천만원,고기영,2004.01.06
새마,중소기업,전남 광양시,전기회로 접속장치 제조업,"1억 5,000만원",27억 9천만원,손민욱,2018.02.22
새마,개인,경기 양주시,한식 음식점업,"6억 5,000만원",15억 1천만원,천이랑,2002.01.03
새마,비영리단체·교육재단,서울 강남구,은행·금융,,,,
새마,비영리법인,경기도 성남시,그 외 기타 협회 및 단체,,,,
새마,대기업 계열사·자회사,서울 마포구,은행·금융,,,,
새마,비영리법인,서울 강서구,신용조합,,,,
새마,중소기업,인천 서구,기타 비주거용 건물 건설업,,,,
새마,중소기업,서울 노원구,통신.방송장비 및 부품 도매업,5억원,148억 9천만원,정해상/정철종,2013.08.16
서정,중소기업,서울 강남구,문화·공연·예술,10억원,193억,이대희,2015.10.07
서정,중소기업,서울 강남구,물류·운송·배송,,,,
서정,중소기업,서울 서대문구,늘찬 배달업,,,,
서정,중소기업,전북 김제시,기타 산업용 농산물 도매업,,,,
서정,중소기업,인천 남동구,의약품 및 의료용품 소매업,,,,
서정,중소기업,서울 강남구,기타 방적업,,,,
서정,중소기업,경기 안양시,건설·시공·토목·조경,,,,
서정,중소기업,서울 송파구,단독 주택 건설업,,,,
서정,중소기업,경기 고양시,상품 종합 도매업,,,,
서정,중소기업,서울 송파구,인테리어·자재,,,,
엠케이종합건설,중소기업,경기 과천시,그 외 기타 건축 마무리 공사업,,,,
엠케이종합건설,중소기업,경기 포천시,기타 토목시설물 건설업,,,,
동경해운,중소기업,제주 제주시,"화물운송 중개, 대리 및 관련 서비스업",,,,
플라터너스,중소기업,서울 금천구,섬유·의류·패션,,,,
아리움텍,중소기업,충남 천안시,화학·에너지·환경,,,,
커리어플러스컨설팅,중소기업,서울 마포구,교육관련 자문 및 평가업,,,,
커리어플러스컨설팅,중소기업,부산 해운대구,경영 컨설팅업,,,,
커리어플러스컨설팅,중소기업,경기 파주시,서치펌·헤드헌팅,,,,
커리어플러스컨설팅,중소기업,서울 양천구,경영 컨설팅업,,,,
커리어플러스컨설팅,중소기업,서울 마포구,컨설팅·연구·조사,,,,
산들,대기업,서울 영등포구,증권 중개업,,,,
산들,중견기업,서울 마포구,신문 발행업,,,,
산들,대기업,서울 영등포구,증권 중개업,,,,
산들,대기업,서울 중구,증권 중개업,,,,
산들,대기업,서울 영등포구,증권 중개업,,,,
산들,공공기관,서울 중구,그 외 기타 보건업,,,,
산들,국내 공공기관·공기업,경남 진주시,건설·시공·토목·조경,,,,
산들,대기업,서울 영등포구,증권 중개업,,,,
산들,대기업,서울 영등포구,증권 중개업,,,,
대성이앤씨,중소기업,경기 여주시,건설·시공·토목·조경,,,,
대성이앤씨,중소기업,경기 시흥시,도장 공사업,,,,
대성이앤씨,중소기업,경기 안산시,기반조성 관련 전문공사업,,,,
대성이앤씨,중소기업,전남 순천시,건축·설비·환경,,,,
대성이앤씨,중소기업,경기 용인시,합성수지 및 기타 플라스틱 물질 제조업,,,,
대성이앤씨,중소기업,부산 동래구,건물 및 토목 엔지니어링 서비스업,,,,
대성이앤씨,중소기업,서울 송파구,건물 및 토목 엔지니어링 서비스업,,,,
서울특별시평생교육진흥원,비영리법인,서울 마포구,사회교육시설,,,,
스카이아이앤디,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,,,,
스카이아이앤디,중소기업,충남 천안시,그 외 기타 분류 안된 사업지원 서비스업,,,,
스카이아이앤디,중소기업,서울 중랑구,음식료·외식·프랜차이즈,,,,
스카이아이앤디,중소기업,경기 포천시,쇼핑몰·오픈마켓·소셜커머스,,,,
스카이아이앤디,중소기업,서울 노원구,모조 귀금속 및 모조 장신용품 제조업,,,,
스카이아이앤디,중소기업,경기 용인시,제약·보건·바이오,,,,
스카이아이앤디,벤처기업,서울 강남구,솔루션·SI·CRM·ERP,,,,
스카이아이앤디,중소기업,서울 강서구,통관 대리 및 관련서비스업,,,,
스카이아이앤디,중소기업,경기 부천시,포털·컨텐츠·커뮤니티,,,,
스카이아이앤디,중소기업,대전 동구,그 외 자동차용 신품 부품 제조업,,,,
신화이앤씨,중소기업,충남 서산시,건설·시공·토목·조경,,,,
신화이앤씨,중소기업,서울 송파구,건설·시공·토목·조경,,,,
신화이앤씨,중소기업,광주 서구,내부 통신배선 공사업,,,,
신화이앤씨,중소기업,부산 부산진구,소방시설 공사업,,,,
신화이앤씨,중소기업,경기 안양시,건설·시공·토목·조경,,,,
신화이앤씨,중소기업,경기 안양시,건설·시공·토목·조경,,,,
안중근의사숭모회,중소기업,서울 중구,박물관 운영업,,,,
디에이치,중견기업,서울 금천구,"라디오, 녹음 및 재생 기기 제조업",,,,
디에이치,중소기업,경기 군포시,그 외 기타 특수목적용 기계 제조업,,,,
디에이치,중소기업,대전 서구,백화점·유통·도소매,,,,
디에이치,중견기업,인천 서구,전기·전자·제어,,,,
디에이치,중견기업,인천 서구,운송장비용 조명장치 제조업,,,,
디에이치,중소기업,경기 평택시,자동차 차체용 신품 부품 제조업,,,,
디에이치,중견기업,광주 북구,주방용 전기기기 제조업,,,,
디에이치,중견기업,전북 완주군,그 외 자동차용 신품 부품 제조업,,,,
디에이치,중소기업,경남 김해시,그 외 기타 전자부품 제조업,-,-,문현이,2014.04.25
디에이치,중소기업,충남 당진시,그 외 기타 금속가공업,"2,000만원",246억 6천만원,홍영기,2020.01.08
대성엔텍,중소기업,경기 화성시,기계·기계설비,,,,
대성엔텍,중소기업,경기 수원시,음ㆍ식료품 및 담배 가공기계 제조업,,,,
대성엔텍,중소기업,인천 남동구,금속 절삭기계 제조업,,,,
대성엔텍,중소기업,경기 화성시,생활용품·소비재·기타,,,,
대성엔텍,중소기업,광주 광산구,주형 및 금형 제조업,,,,
대성엔텍,중소기업,경기 안산시,자동차용 전용 신품 부품 판매업,,,,
대성엔텍,중소기업,경기 화성시,그 외 기타 플라스틱 제품 제조업,,,,
대성엔텍,중소기업,경남 함안군,유압기기 제조업,,,,
대성엔텍,중소기업,서울 광진구,교통 신호장치 제조업,,,,
대성엔텍,중소기업,서울 동대문구,인테리어·자재,,,,
현이엔씨,중소기업,서울 금천구,주거용 건물 개발 및 공급업,23억원,90억,서동현,2001.04.25
현이엔씨,벤처기업,경기 안양시,건설·시공·토목·조경,,,,
현이엔씨,중소기업,서울 송파구,기계·기계설비,,,,
현이엔씨,중소기업,전북 전주시,비주거용 건물 임대업,,,,
은빈,중소기업,광주 북구,포털·컨텐츠·커뮤니티,,,,
은빈,중소기업,서울 강남구,건어물 및 젓갈류 소매업,,,,
은빈,중소기업,경기 김포시,시설관리·보안·경비,,,,
은빈,중소기업,서울특별시 중구,의복 액세서리 및 모조 장신구 도매업,-,-,박혜경,-
동광양,중소기업,전남 광양시,"화물운송 중개, 대리 및 관련 서비스업",,,,
동광양,대기업,전남 광양시,은행·금융,,,,
혜윰,중소기업,서울 서초구,건축·설비·환경,,,,
혜윰,중소기업,경기 김포시,"목재 보존, 방부처리, 도장 및 유사 처리업",,,,
혜윰,중소기업,서울 동대문구,"도배, 실내장식 및 내장 목공사업",,,,
혜윰,중소기업,대구광역시 달서구,문화·공연·예술,,,,
혜윰,중소기업,경기 용인시,일반전기 공사업,,,,
혜윰,중소기업,서울 강남구,경영 컨설팅업,,,,
혜윰,중소기업,서울 송파구,광고·홍보·전시,,,,
혜윰,중소기업,부산 부산진구,"도배, 실내장식 및 내장 목공사업",,,,
혜윰,중소기업,서울 강남구,"전시, 컨벤션 및 행사 대행업",,,,
해성테크,중소기업,울산 울주군,그 외 자동차용 신품 부품 제조업,"5억 1,000만원",14억 5천만원,김영운,2017.07.25
해성테크,중소기업,부산 강서구,도장 및 기타 피막처리업,-,13억 5천만원,김해덕,2019.07.03
해성테크,중소기업,경기 화성시,"금속 문, 창, 셔터 및 관련제품 제조업","8억 2,253만원",21억 5천만원,노복균,2013.05.15
해성테크,중소기업,경북 구미시,반도체 제조업,,,,
이와이건축사사무소,중소기업,경기 남양주시,건축설계 및 관련 서비스업,"1,000만원",11억 4백만원,김현종,2019.07.08
상기이엔지,중소기업,경기 화성시,전기·전자·제어,,,,
포스타입,중소기업,서울 강남구,포털·컨텐츠·커뮤니티,,,,
영인에이스,중소기업,경기 안양시,"물리, 화학 및 생물학 연구개발업",,,,
프릭사모터스,중소기업,경기 고양시,자동차 신품 판매업,,,,
동남환경,중소기업,부산 연제구,화학·에너지·환경,-,-,김미경,2013.03.27
엔티비코리아,중소기업,서울 금천구,응용 소프트웨어 개발 및 공급업,2억원,36억 4백만원,전영기,2000.04.20
엔티비코리아,중소기업,경기 평택시,유리 및 창호 도매업,"1,000만원","5억 1,717만원",김명준,2016.02.23
크리에이터링크,벤처기업,서울 서초구,솔루션·SI·CRM·ERP,,,,
제레미에프엔비,중소기업,서울 강남구,경영 컨설팅업,,,,
송천,중소기업,광주 북구,상용 인력 공급 및 인사관리 서비스업,,,,
송천,중소기업,경기 남양주시,음식료·외식·프랜차이즈,,,,
송천,중소기업,서울 강서구,철골 및 관련 구조물 공사업,,,,
송천,중소기업,광주 북구,일반전기 공사업,,,,
송천,중소기업,경기 평택시,"채소류, 서류 및 향신작물류 도매업",,,,
송천,중소기업,서울 금천구,상품 종합 도매업,,,,
송천,중소기업,서울 강동구,비주거용 건물 임대업,,,,
송천,중소기업,전북 전주시,일식 음식점업,,,,
송천,중소기업,서울 영등포구,"미장, 타일 및 방수 공사업",,,,
송천,비영리법인,전라북도 전주시,금융리스업,,,,
이엠,대기업,서울 마포구,방송·케이블·프로덕션,,,,
이엠,중견기업,경기 용인시,기타 건물 관련설비 설치 공사업,,,,
이엠,중견기업,충북 청주시,그 외 기타 달리 분류되지 않은 제품 제조업,,,,
이엠,중소기업,전북 익산시,합성수지 및 기타 플라스틱 물질 제조업,,,,
이엠,중소기업,인천 서구,시설관리·보안·경비,,,,
이엠,중소기업,인천 서구,자동차 차체용 신품 부품 제조업,,,,
이엠,중소기업,서울 강남구,사업시설 유지.관리 서비스업,,,,
이엠,중소기업,서울 강남구,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",52억 6천만원,240억 7천만원,고병철,2000.04.26
이엠,중견기업,서울 강남구,건축·설비·환경,,,,
이엠,중소기업,서울 송파구,경영 컨설팅업,,,,
공훈,중소기업,광주 남구,백화점·유통·도소매,,,,
공훈,중소기업,대전 동구,시스템 소프트웨어 개발 및 공급업,,,,
브레인컨설팅호남,중소기업,광주 남구,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,,
스틸엔우드,중소기업,충북 음성군,육상 금속 골조 구조재 제조업,"3억 5,000만원",24억 4천만원,이상숙,2005.04.07
스틸엔우드,중소기업,대구 서구,물류·운송·배송,3억원,27억,이택재,2001.02.06
스틸엔우드,개인,경기 오산시,"철물, 공구, 창호 및 건설자재 소매업",,,,
창성테크,중소기업,경기 평택시,주형 및 금형 제조업,,,,
창성테크,중소기업,울산 남구,자동차·조선·철강·항공,,,,
창성테크,중소기업,경기 화성시,기계·기계설비,,,,
창성테크,중소기업,경기 안산시,기타 자동차 신품 부품 및 내장품 판매업,-,-,김홍화,-
시에이치파트너스,중소기업,부산 동구,비주거용 건물 임대업,3억원,"8억 5,248만원",한승완,2014.11.12
플랜비로지스틱,중소기업,경기 파주시,그 외 기타 달리 분류되지 않은 개인 서비스업,,,,
백퍼센트,중소기업,서울 구로구,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,,
포인블랙,중소기업,경기 안양시,응용 소프트웨어 개발 및 공급업,,,,
우석전자씨스템,중소기업,서울 강남구,전기경보 및 신호장치 제조업,,,,
거성건설,중소기업,경기 시흥시,"도배, 실내장식 및 내장 목공사업",,,,
거성건설,중소기업,경북 영양군,건설·시공·토목·조경,,,,
오토카,중소기업,서울 성동구,자동차 신품 판매업,"5,000만원",77억 4천만원,박종태/유우재,2014.06.05
오토카,중소기업,서울 도봉구,렌탈·임대·리스,1억원,35억,이성희,2023.03.01
오토카,중소기업,경기 안산시,자동차 임대업,"1억 6,000만원","6억 3,995만원",김진영,2010.07.01
오토카,중소기업,경기 수원시,자동차 임대업,1억원,17억 1천만원,공선기,2020.05.20
오토카,중소기업,경기 김포시,렌탈·임대·리스,5억원,18억 2천만원,"김영표, 박영협",2017.01.01
오토카,중소기업,대구 달서구,렌탈·임대·리스,,,,
오토카,중소기업,경기 의왕시,자동차 임대업,,,,
오토카,중소기업,부산 사상구,기타 운송장비 임대업,,,,
예은건설,중소기업,서울 양천구,기타 비주거용 건물 건설업,,,,
예은건설,중소기업,인천 남동구,건축·설비·환경,,,,
예은건설,중소기업,경기 성남시,건설·시공·토목·조경,,,,
예은건설,중소기업,대전 중구,단독 주택 건설업,,,,
예은건설,중소기업,서울 광진구,건설·시공·토목·조경,,,,
예은건설,중소기업,서울 송파구,건설·시공·토목·조경,,,,
예은건설,중소기업,서울 마포구,기타 비주거용 건물 건설업,,,,
예은건설,중소기업,인천 서구,단독 주택 건설업,5억원,117억 4천만원,정창표,1997.04.08
예은건설,중소기업,부산 강서구,건설·시공·토목·조경,5억원,77억 4천만원,장종진,2018
예은건설,중소기업,서울 강남구,주거용 건물 건설업,17억 9천만원,37억 6천만원,강호필,2010.12.17
우영에스엔엘,중소기업,부산 남구,그 외 기타 분류 안된 사업지원 서비스업,,,,
효동선박,중소기업,서울 강남구,물류·운송·배송,,,,
효동선박,중소기업,부산 중구,내항 화물 운송업,,,,
나루,중소기업,서울 마포구,호텔업,,,,
나루,중소기업,서울 송파구,음식료·외식·프랜차이즈,,,,
나루,중소기업,서울 마포구,디자인·CAD,,,,
나루,중소기업,서울 마포구,그 외 기타 봉제의복 제조업,,,,
나루,중소기업,경기 성남시,상품 종합 도매업,,,,
나루,중소기업,서울 강남구,"도배, 실내장식 및 내장 목공사업",,,,
나루,중소기업,강원 원주시,인테리어·자재,,,,
나루,중소기업,서울 강남구,아파트 건설업,1억원,20억 8천만원,전종훈,2014.04.10
나루,중소기업,대구 수성구,비주거용 건물 임대업,1억원,29억 6천만원,이유성,2011.02.09
나루,중소기업,대구 수성구,광고 대행업,-,-,임채영,2019.01.01
송림산업개발,중소기업,서울 서초구,조경 건설업,,,,
송림산업개발,중소기업,경기도 파주시,비주거용 건물 개발 및 공급업,,,,
도명디앤이,중소기업,서울 강남구,기타 엔지니어링 서비스업,,,,
농업회사법인마암,중소기업,충청남도 공주시,"수산동물 훈제, 조리 및 유사 조제식품 제조업",,,,
천진,중소기업,부산 부산진구,간판 및 광고물 제조업,,,,
천진,중소기업,경남 창원시,측량업,,,,
천진,중소기업,경기 시흥시,기계·기계설비,,,,
천진,중소기업,서울 광진구,커피 및 차류 도매업,,,,
천진,중소기업,서울 중구,호텔·여행·항공,,,,
천진,중소기업,강원 고성군,화장품 및 화장용품 도매업,1억원,10억 1천만원,이장훈,2005.03.03
진종합건설,중소기업,경기 화성시,건물 건설업,"5억 1,000만원",237억 4천만원,김수진,2013.04.01
삼번,중소기업,인천 남동구,기타 생활용 섬유 및 직물제품 도매업,,,,
삼번,중소기업,경기 김포시,쇼핑몰·오픈마켓·소셜커머스,,,,
유일전기공사,중소기업,전남 목포시,내부 전기배선 공사업,,,,
이지가구,중견기업,인천 부평구,산업처리공정 제어장비 제조업,18억 9천만원,483억 5천만원,김남균,2002.04.01
이지가구,중소기업,부산 부산진구,사업시설 유지.관리 서비스업,"5억 5,000만원",51억 9천만원,김호협/장광회,2008.10.07
이지가구,중소기업,서울 금천구,사업시설 유지.관리 서비스업,,,,
이지가구,중소기업,경기 광주시,목재·제지·가구,,,,
이지가구,중소기업,경기 화성시,그 외 기타 종이 및 판지 제품 제조업,,,,
이지가구,중소기업,인천 미추홀구,일반전기 공사업,,,,
이지가구,중소기업,경기 성남시,경영 컨설팅업,,,,
이지가구,중소기업,서울 종로구,음식료·외식·프랜차이즈,-,-,리원쉐,2021.03.25
이지가구,중소기업,경기 광주시,기타 목재가구 제조업,"5,000만원",25억 6천만원,안재석,2020.06.04
이지가구,중소기업,제주 서귀포시,음식료·외식·프랜차이즈,-,-,고정숙,-
우경,중견기업,경기 군포시,토목시설물 건설업,,,,
우경,중소기업,광주 광산구,전자감지장치 제조업,,,,
우경,중소기업,경기 용인시,전기·전자·제어,,,,
우경,중소기업,경기 성남시,토목시설물 건설업,,,,
우경,중소기업,대구 수성구,응용 소프트웨어 개발 및 공급업,,,,
우경,중소기업,부산 동래구,건물 및 토목 엔지니어링 서비스업,,,,
우경,중소기업,경기 평택시,전기·전자·제어,,,,
우경,중소기업,충북 청주시,호텔·여행·항공,,,,
우경,중소기업,경기 안양시,건설·시공·토목·조경,,,,
우경,중소기업,경기 용인시,비주거용 건물 개발 및 공급업,,,,
텍트리,중소기업,경기 수원시,그 외 기타 특수목적용 기계 제조업,,,,
텍트리,중소기업,경북 칠곡군,기계·기계설비,,,,
텍트리,중소기업,서울 구로구,동력식 수지공구 제조업,,,,
텍트리,중소기업,경북 칠곡군,수동식 식품 가공기기 및 금속 주방용기 제조업,,,,
텍트리,중소기업,서울 송파구,채소작물 재배업,7억원,92억,이한식,1975.12.06
텍트리,중소기업,서울 구로구,전기·전자·제어,-,-,남흥우,2010.07.01
세종하이테크,중소기업,인천광역시 계양구,기계·기계설비,,,,
세종하이테크,중견기업,서울 중구,호텔업,,,,
세종하이테크,중소기업,서울 중구,출판·인쇄·사진,,,,
세종하이테크,중견기업,경기 용인시,그 외 자동차용 신품 부품 제조업,,,,
세종하이테크,중견기업,서울 강동구,일반전기 공사업,,,,
세종하이테크,비영리법인,세종 조치원읍,기타 인문 및 사회과학 연구개발업,82억 1백만원,"1억 4,520만원",양현봉,2019.07.18
세종하이테크,비영리법인,경기 여주시,그 외 기타 협회 및 단체,-,-,이순열,2017.11.15
세종하이테크,대기업,대전 유성구,학습지·방문교육,"1억 5,000만원",58억 4천만원,이성운,2006.07.03
세종하이테크,중견기업,서울 종로구,변호사업,오종한,"변호사,세무사,학술연구 용역","국민연금, 건강보험, 고용보험, 산재보험",1981.04.01
세종하이테크,대기업,세종 장군면,식품가공,,,,
금강종합건설,중소기업,전북 전주시,기타 토목시설물 건설업,,,,
금강종합건설,중소기업,대전 대덕구,기타 비주거용 건물 건설업,,,,
금강종합건설,중소기업,충북 영동군,기타 토목시설물 건설업,"8억 6,000만원","4억 8,476만원",서정하,2002.11.01
금강종합건설,중소기업,강원 속초시,사무.상업용 및 공공기관용 건물 건설업,,,,
금강종합건설,중소기업,광주 남구,기타 비주거용 건물 건설업,5억원,36억 1천만원,김찬웅,2019.05.20
금강종합건설,중소기업,대구 북구,정비·A/S·카센터,"1억 6,000만원",9억,오효석,1995.03.27
금강종합건설,중소기업,인천 서구,영화관 운영업,65억원,29억 6천만원,박민서,2019.01.01
건영전력,중소기업,제주 제주시,내부 통신배선 공사업,,,,
드림이에스,중소기업,대전 중구,임시 및 일용 인력 공급업,,,,
드림이에스,중소기업,서울 송파구,기타 주변기기 제조업,,,,
드림이에스,중소기업,대전 유성구,기계·기계설비,,,,
드림이에스,중소기업,광주 광산구,금속·재료·자재,,,,
드림이에스,중소기업,서울 마포구,매니저업,,,,
드림이에스,중소기업,경기 용인시,경영 컨설팅업,,,,
드림이에스,중소기업,서울 성북구,남녀용 겉옷 및 셔츠 도매업,,,,
드림이에스,중소기업,경기 용인시,"장난감 및 취미, 오락용품 도매업",,,,
드림이에스,중소기업,서울 중랑구,남녀용 겉옷 및 셔츠 도매업,,,,
드림이에스,중소기업,서울 영등포구,상품 종합 도매업,,,,
에스지에너지,중소기업,경기 안양시,산업용 냉장 및 냉동 장비 제조업,,,,
에스지에너지,중소기업,경기 파주시,운송장비용 주유소 운영업,,,,
에스지에너지,중소기업,경기 양주시,"증기, 냉.온수 및 공기조절 공급업",,,,
에스지에너지,중소기업,인천 서구,배관 및 냉ㆍ난방 공사업,,,,
에스지에너지,중소기업,서울 금천구,건축·설비·환경,,,,
에스지에너지,중소기업,충북 청주시,그 외 기타 건축자재 도매업,,,,
에스지에너지,중소기업,경기 고양시,서양식 음식점업,,,,
제일기건,중소기업,경기 양주시,건설·시공·토목·조경,,,,
삼일화스너,중소기업,경기 안산시,금속 단조제품 제조업,,,,
인우에프에스,중소기업,서울 송파구,전자상거래 소매업,,,,
디와이엘씨디,중소기업,경기 화성시,플라스틱 창호 제조업,9억원,40억 7천만원,석동석,2010.09.17
앰트,중소기업,서울 성동구,섬유·의류·패션,,,,
앰트,벤처기업,충남 예산군,화학·에너지·환경,,,,
